codigo;valor
431264;1.13
431264;1.21
431264;1.37
431264;1.53
431264;1.55
431264;1.56
431264;2.29
431264;2.44
431264;2.47
431264;2.87
431264;2.96
431264;2.98
431264;6.05
431264;6.34
431264;7.5
431264;8.86
431264;10.55
431264;11.1
431264;11.18
431264;14.3
431264;14.38
431264;28.48
431264;31.17
431264;46.54
431264;49.91
431264;50.69
431264;86.86
431264;110.79
431264;129.38
431264;131.51
431264;149.95
431264;150.74
431264;150.79
431264;153.84
431264;161.4
431264;189.28
431264;294.64
431264;367.79
431264;391.49
431264;651.3
431264;1043.41
431264;1053.58
431264;1638.89
431264;3875.14
431264;4384.7
431264;9752.22
431264;10915.53
431264;19622.05
431264;20721.42
431264;21284.4
431264;25688.77
431264;29533.48
431264;102693.02
431264;1283687.94
431264;4994507.15
424228;1.11
424228;1.16
424228;1.23
424228;1.24
424228;1.37
424228;1.53
424228;1.83
424228;1.99
424228;2.28
424228;2.38
424228;2.4
424228;2.73
424228;3.2
424228;3.25
424228;3.66
424228;4.97
424228;5.25
424228;5.49
424228;7.58
424228;7.76
424228;7.77
424228;8.38
424228;10.25
424228;11.75
424228;22.37
424228;23.77
424228;28.96
424228;34.32
424228;38.78
424228;48.96
424228;52.06
424228;71.19
424228;73.8
424228;97.4
424228;97.92
424228;108.68
424228;117.25
424228;125.27
424228;126.92
424228;128.88
424228;320.13
424228;378.21
424228;380.35
424228;528.57
424228;873.02
424228;1134.5
424228;1404.41
424228;1886.19
424228;2401.82
424228;2607.87
424228;4641.59
424228;6787.14
424228;10370.57
424228;12307.46
424228;14585.35
424228;76859.41
424228;144607.23
394048;1.1
394048;1.11
394048;1.15
394048;1.16
394048;1.18
394048;1.18
394048;1.22
394048;1.22
394048;1.23
394048;1.28
394048;1.3
394048;1.35
394048;1.4
394048;1.62
394048;1.63
394048;1.71
394048;1.72
394048;1.72
394048;1.75
394048;1.77
394048;1.81
394048;1.84
394048;1.86
394048;2.06
394048;2.1
394048;2.2
394048;2.21
394048;2.21
394048;2.29
394048;2.31
394048;2.39
394048;2.46
394048;2.47
394048;2.55
394048;2.62
394048;2.68
394048;2.78
394048;2.95
394048;3.05
394048;3.08
394048;3.38
394048;3.4
394048;3.41
394048;3.45
394048;3.99
394048;4.44
394048;4.52
394048;4.53
394048;5.02
394048;5.2
394048;5.57
394048;5.57
394048;5.78
394048;5.91
394048;6.13
394048;6.36
394048;6.41
394048;6.54
394048;6.64
394048;6.68
394048;6.69
394048;6.88
394048;7.21
394048;7.31
394048;7.43
394048;7.5
394048;7.67
394048;8.17
394048;8.36
394048;8.51
394048;8.79
394048;8.92
394048;9.82
394048;10.74
394048;11.32
394048;11.54
394048;11.74
394048;12.08
394048;12.13
394048;12.34
394048;14.68
394048;15.37
394048;15.91
394048;16.39
394048;17.0
394048;17.79
394048;18.69
394048;19.15
394048;19.73
394048;20.11
394048;22.62
394048;22.97
394048;23.94
394048;24.51
394048;25.79
394048;26.01
394048;27.6
394048;28.63
394048;29.67
394048;34.95
394048;35.28
394048;39.24
394048;44.59
394048;45.66
394048;45.85
394048;47.06
394048;47.22
394048;50.4
394048;50.73
394048;55.19
394048;56.48
394048;62.55
394048;66.68
394048;72.19
394048;72.25
394048;74.47
394048;76.61
394048;78.14
394048;79.91
394048;80.0
394048;84.93
394048;88.93
394048;89.6
394048;101.58
394048;102.97
394048;103.17
394048;108.98
394048;109.67
394048;113.17
394048;113.43
394048;114.49
394048;115.43
394048;117.22
394048;121.4
394048;122.0
394048;123.38
394048;124.22
394048;124.51
394048;124.6
394048;128.0
394048;129.95
394048;130.85
394048;132.82
394048;133.12
394048;135.49
394048;137.07
394048;141.96
394048;143.87
394048;144.53
394048;144.99
394048;145.16
394048;148.67
394048;150.96
394048;152.41
394048;154.25
394048;157.55
394048;159.19
394048;162.37
394048;163.81
394048;169.26999999999998
394048;170.67000000000002
394048;172.37
394048;173.82999999999998
394048;175.92000000000002
394048;179.75
394048;182.51999999999998
394048;190.01
394048;221.79
394048;332.43
394048;424.77
394048;445.18
394048;479.26
394048;503.15
394048;683.27
394048;718.91
394048;750.61
394048;833.67
394048;844.58
394048;877.0
394048;1022.48
394048;1194.26
394048;1330.83
394048;1402.87
394048;1535.06
394048;1646.97
394048;1703.82
394048;1914.32
394048;2524.91
394048;2744.35
394048;2751.16
394048;2835.54
394048;3010.69
394048;3435.9
394048;3478.04
394048;5724.11
394048;6568.46
394048;6778.84
394048;9425.74
394048;14546.83
394048;16269.87
394048;24168.57
394048;31638.71
394048;35052.07
394048;53572.34
394048;55892.28
394048;65982.99
394048;78519.05
394048;92637.95
394048;93081.22
394048;108474.28
394048;476680.47
394048;480775.32
394048;856223.51
394048;1000878.38
394048;1317359.54
394048;1965878.24
394048;2856694.97
394048;5821895.56
394048;5962606.48
394048;6599957.57
657019;1.19
657019;1.2
657019;1.29
657019;1.35
657019;1.46
657019;1.76
657019;2.2
657019;2.35
657019;2.71
657019;3.05
657019;3.45
657019;3.61
657019;5.85
657019;7.48
657019;10.18
657019;11.33
657019;11.82
657019;13.19
657019;18.41
657019;18.49
657019;20.26
657019;22.88
657019;23.18
657019;31.55
657019;34.22
657019;46.46
657019;59.87
657019;65.52
657019;70.45
657019;71.18
657019;84.4
657019;113.28999999999999
657019;130.28
657019;132.22
657019;134.64
657019;263.82
657019;334.33
657019;432.25
657019;554.23
657019;1609.35
657019;3064.13
657019;6124.1
657019;6746.23
657019;7840.08
657019;8249.11
657019;136592.03
657019;164728.37
657019;360629.73
657019;493171.27
657019;745312.18
657019;1700536.2
657019;3757374.94
115038;1.15
115038;1.15
115038;1.15
115038;1.2
115038;1.24
115038;1.28
115038;1.3
115038;1.34
115038;1.36
115038;1.37
115038;1.51
115038;1.57
115038;1.58
115038;1.75
115038;1.76
115038;1.77
115038;1.85
115038;2.1
115038;2.26
115038;2.27
115038;2.33
115038;2.42
115038;2.6
115038;2.61
115038;2.93
115038;3.01
115038;3.14
115038;3.26
115038;3.43
115038;3.52
115038;3.6
115038;3.67
115038;3.73
115038;4.24
115038;4.52
115038;4.88
115038;5.3
115038;5.54
115038;5.71
115038;5.88
115038;6.11
115038;6.19
115038;6.23
115038;6.3
115038;6.67
115038;6.8
115038;7.03
115038;8.64
115038;8.67
115038;9.01
115038;9.59
115038;9.89
115038;10.0
115038;10.93
115038;11.27
115038;11.51
115038;13.66
115038;17.24
115038;19.49
115038;20.53
115038;20.83
115038;21.93
115038;22.07
115038;22.66
115038;23.26
115038;25.12
115038;25.86
115038;30.2
115038;30.78
115038;31.45
115038;37.44
115038;37.44
115038;39.88
115038;41.99
115038;46.24
115038;48.89
115038;85.26
115038;87.92
115038;103.96
115038;106.61
115038;114.7
115038;116.28999999999999
115038;117.3
115038;118.18
115038;120.28
115038;120.35
115038;120.72
115038;120.89
115038;123.55
115038;124.33
115038;124.96
115038;125.09
115038;127.93
115038;128.26
115038;131.57
115038;137.77
115038;139.04
115038;142.98
115038;144.09
115038;150.48
115038;161.57
115038;162.92
115038;166.67000000000002
115038;166.95
115038;169.54000000000002
115038;169.99
115038;174.51999999999998
115038;176.94
115038;188.64
115038;192.23000000000002
115038;199.41
115038;274.21
115038;276.6
115038;306.04
115038;343.68
115038;366.66
115038;489.44
115038;501.73
115038;586.02
115038;654.77
115038;698.93
115038;768.77
115038;1100.93
115038;1182.82
115038;1310.64
115038;1383.6
115038;1909.48
115038;2001.0
115038;2171.0
115038;2811.09
115038;3264.26
115038;3292.73
115038;3302.31
115038;4244.99
115038;4510.37
115038;7866.56
115038;12858.04
115038;16286.36
115038;20873.9
115038;27990.56
115038;33866.08
115038;34450.0
115038;35928.73
115038;53038.33
115038;155004.37
115038;291675.11
115038;411710.88
115038;436201.12
115038;496045.08
115038;590711.7
115038;610751.11
115038;712953.46
115038;769348.88
115038;818622.66
115038;2150249.37
115038;2771336.63
596674;1.08
596674;1.1
596674;1.1
596674;1.17
596674;1.37
596674;1.46
596674;1.5
596674;1.57
596674;1.78
596674;1.85
596674;1.88
596674;2.05
596674;2.05
596674;2.15
596674;2.17
596674;2.59
596674;2.68
596674;2.69
596674;2.7
596674;3.01
596674;3.05
596674;3.16
596674;3.16
596674;3.31
596674;3.44
596674;3.49
596674;3.5
596674;3.57
596674;3.75
596674;3.8
596674;3.95
596674;4.18
596674;4.19
596674;4.21
596674;4.23
596674;4.44
596674;5.5
596674;6.07
596674;6.14
596674;6.22
596674;7.36
596674;7.82
596674;8.93
596674;9.22
596674;9.46
596674;9.6
596674;9.81
596674;9.81
596674;11.06
596674;11.24
596674;11.86
596674;12.72
596674;12.88
596674;13.34
596674;13.77
596674;18.39
596674;19.04
596674;19.55
596674;19.98
596674;20.2
596674;20.82
596674;21.13
596674;28.74
596674;30.4
596674;30.96
596674;36.85
596674;40.37
596674;43.88
596674;53.33
596674;62.16
596674;70.13
596674;99.66
596674;103.59
596674;106.62
596674;111.86
596674;116.09
596674;117.08
596674;117.75
596674;121.73
596674;122.55
596674;136.96
596674;140.87
596674;149.12
596674;155.37
596674;156.24
596674;161.99
596674;166.73
596674;169.75
596674;176.85
596674;177.35
596674;177.70999999999998
596674;179.70999999999998
596674;181.31
596674;181.36
596674;194.45
596674;197.93
596674;198.01
596674;199.68
596674;200.97
596674;212.24
596674;236.13
596674;245.43
596674;292.12
596674;406.41
596674;412.91
596674;493.84
596674;497.12
596674;501.22
596674;570.07
596674;590.81
596674;658.68
596674;672.35
596674;751.9
596674;782.28
596674;834.66
596674;884.78
596674;922.12
596674;987.32
596674;1573.48
596674;2407.39
596674;2423.02
596674;3235.0
596674;4445.04
596674;7017.03
596674;7320.16
596674;7392.19
596674;8993.61
596674;10580.25
596674;11438.71
596674;14885.18
596674;15225.62
596674;17606.78
596674;33102.27
596674;42573.84
596674;81537.76
596674;330892.92
596674;342514.38
596674;589288.99
596674;675590.7
596674;745168.33
596674;877347.93
596674;1823877.29
596674;3038439.54
66846;1.07
66846;1.08
66846;1.13
66846;1.16
66846;1.2
66846;1.53
66846;1.57
66846;1.72
66846;1.75
66846;1.84
66846;2.02
66846;2.43
66846;2.71
66846;2.94
66846;3.08
66846;3.31
66846;3.49
66846;3.87
66846;4.21
66846;5.1
66846;5.12
66846;5.16
66846;5.32
66846;5.78
66846;7.99
66846;8.56
66846;8.57
66846;8.99
66846;10.54
66846;11.15
66846;13.58
